Supplier_Name,CFN (REF),Material_Description,Manufacturer Name
Enovis Slovakia s. r. o.,00-5842-013-01,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Left Medial/ Right Lateral Size C - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-013-02,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Right Medial/ Left Lateral Size C - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-014-01,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Left Medial/ Right Lateral Size D - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-014-02,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Right Medial/ Left Lateral Size D - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-015-01,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Left Medial/ Right Lateral Size E - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-015-02,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Right Medial/ Left Lateral Size E - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-016-01,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Left Medial/ Right Lateral Size F - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-016-02,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Right Medial/ Left Lateral Size F - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-017-01,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Left Medial/ Right Lateral Size G - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-017-02,Physica ZUK Unicompartmental Knee System - Femoral Component Precoat Right Medial/ Left Lateral Size G - CoCrMo + PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-021-08,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 1 8 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-021-09,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 1 9 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-021-10,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 1 10 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-021-11,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 1 11 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-021-12,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 1 12 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-021-14,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 1 14 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-022-08,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 2 8 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-022-09,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 2 9 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-022-10,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 2 10 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-022-11,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 2 11 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-022-12,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 2 12 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-022-14,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 2 14 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-023-08,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 3 8 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-023-09,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 3 9 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-023-10,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 3 10 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-023-11,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 3 11 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-023-12,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 3 12 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-023-14,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 3 14 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-024-08,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 4 8 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-024-09,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 4 9 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-024-10,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 4 10 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-024-11,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 4 11 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-024-12,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 4 12 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-024-14,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 4 14 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-025-08,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 5 8 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-025-09,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 5 9 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-025-10,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 5 10 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-025-11,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 5 11 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-025-12,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 5 12 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-025-14,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 5 14 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-026-08,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 6 8 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-026-09,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 6 9 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-026-10,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 6 10 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-026-11,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 6 11 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-026-12,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 6 12 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-026-14,"Physica ZUK Unicompartmental Knee System - Articular Surface Femoral Size A,B,C,D,E,F,G Size 6 14 mm Height - UHMWPE",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-031-08,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Left Medial/ Right Lateral Femoral Size A,B,C,D,E,F,F Size 1 8 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-031-10,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Left Medial/ Right Lateral Femoral Size A,B,C,D,E,F,F Size 1 10 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-031-12,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Left Medial/ Right Lateral Femoral Size A,B,C,D,E,F,F Size 1 12 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-031-14,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Left Medial/ Right Lateral Femoral Size A,B,C,D,E,F,F Size 1 14 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-032-08,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Right Medial/ Left Lateral Femoral Size A,B,C,D,E,F,F Size 1 8 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-032-10,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Right Medial/ Left Lateral Femoral Size A,B,C,D,E,F,F Size 1 10 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-032-12,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Right Medial/ Left Lateral Femoral Size A,B,C,D,E,F,F Size 1 12 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-032-14,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Right Medial/ Left Lateral Femoral Size A,B,C,D,E,F,F Size 1 14 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-041-08,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Left Medial/ Right Lateral Femoral Size A,B,C,D,E,F,F Size 2 8 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-041-10,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Left Medial/ Right Lateral Femoral Size A,B,C,D,E,F,F Size 2 10 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-041-12,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Left Medial/ Right Lateral Femoral Size A,B,C,D,E,F,F Size 2 12 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-041-14,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Left Medial/ Right Lateral Femoral Size A,B,C,D,E,F,F Size 2 14 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-042-08,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Right Medial/ Left Lateral Femoral Size A,B,C,D,E,F,F Size 2 8 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-042-10,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Right Medial/ Left Lateral Femoral Size A,B,C,D,E,F,F Size 2 10 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-042-12,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Right Medial/ Left Lateral Femoral Size A,B,C,D,E,F,F Size 2 12 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-042-14,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Right Medial/ Left Lateral Femoral Size A,B,C,D,E,F,F Size 2 14 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,00-5842-051-08,"Physica ZUK Unicompartmental Knee System - All-Poly Tibial Component Left Medial/ Right Lateral Femoral Size A,B,C,D,E,F,F Size 3 8 mm Height - UHMWPE + AISI 316L",Limacorporate S.p.A.
