Supplier,Manufacturer,Supplier material number (Catalogue),Manufactorer material number (Cataloque),"Material Name
(long designation)",Packaging unit (Pack.),"Quantity
[piece in base unit]","Base unit
(piece)","Sales Sales Jan- Sep 
pack","Sales Jan- Sep
piece",emdn_code,emdn_name,emdn_confidence
Zimmer Slovakia s.r.o.,Zimmer Inc.,00-8751-010-36,00-8751-010-36,00-8751-013-36 HXPE LINER NEUTRAL LL 36,box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Zimmer Inc.,00-8751-010-36,00-8751-010-36,00-8751-014-36 HXPE LINER NEUTRAL MM 36,box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8755-050-00,00-8755-050-00,"00-8755-050-00 jamka pracetabulum, necem. 50/HH",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8755-050-00,00-8755-050-00,"00-8755-050-00 jamka pracetabulum, necem. 50/HH",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8755-050-00,00-8755-050-00,"00-8755-050-00 jamka pracetabulum, necem. 50/HH",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8755-052-00,00-8755-052-00,00-8755-052-00 jamka ALLOFIT IT vel. 52/II,box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8755-054-00,00-8755-054-00,"00-8755-054-00 jamka pracetabulum, necem. 54/JJ",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8755-054-00,00-8755-054-00,"00-8755-054-00 jamka pracetabulum, necem. 54/JJ",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8755-054-02,00-8755-054-02,"00-8755-054-02 jamka pracetabulum, necem. 54/JJ",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8755-058-00,00-8755-058-00,"00-8755-058-00 jamka pracetabulum, necem. 58/LL",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8755-060-00,00-8755-060-00,"00-8755-060-00 jamka pracetabulum, necem. 60/MM",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-032-01,00-8775-032-01,"00-8775-032-01 BioloxR Head, 12/14, 32 x -3.5",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-032-01,00-8775-032-01,"00-8775-032-01 BioloxR Head, 12/14, 32 x -3.5",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-032-01,00-8775-032-01,"00-8775-032-01 BioloxR Head, 12/14, 32 x -3.5",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-032-02,00-8775-032-02,"00-8775-032-02 BioloxR delta Head, 12/14, 32 x 0",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-032-03,00-8775-032-03,"00-8775-032-03 BioloxR Head, 12/14, 32 x +3.5",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-032-04,00-8775-032-04,"00-8775-032-04 BioloxR delta Head, 12/14, 32 x +7",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-036-01,00-8775-036-01,"00-8775-036-01 BioloxR  Head, 12/14, 36 x -3.5",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-036-02,00-8775-036-02,"00-8775-036-02 BioloxR delta Head, 12/14, 36 x 0",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-036-02,00-8775-036-02,"00-8775-036-02 BioloxR delta Head, 12/14, 36 x 0",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-036-02,00-8775-036-02,"00-8775-036-02 BioloxR delta Head, 12/14, 36 x 0",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-036-02,00-8775-036-02,"00-8775-036-02 BioloxR delta Head, 12/14, 36 x 0",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-036-02,00-8775-036-02,"00-8775-036-02 BioloxR delta Head, 12/14, 36 x 0",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,00-8775-036-02,00-8775-036-02,"00-8775-036-02 BioloxR delta Head, 12/14, 36 x 0",box,1,piece,1,1,P090804050201,"CERAMIC FEMORAL HEADS, TOTAL HIP REPLACEMENT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,01.06010.005,01.06010.005,"01.06010.005 Avenir Muller, driek HA,5,kuzel 12/14",box,1,piece,1,1,P090804010201,"UNCEMENTED FEMORAL STEMS FOR PRIMARY IMPLANT, WITH FIXED NECK, STRAIGHT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,01.06010.007,01.06010.007,"01.06010.007 Avenir Muller, driek HA,7,kuzel 12/14",box,1,piece,1,1,P090804010201,"UNCEMENTED FEMORAL STEMS FOR PRIMARY IMPLANT, WITH FIXED NECK, STRAIGHT",high
Zimmer Slovakia s.r.o.,Zimmer Switzerland Manufacturing GmbH,01.06010.007,01.06010.007,"01.06010.007 Avenir Muller, driek HA,7,kuzel 12/14",box,1,piece,1,1,P090804010201,"UNCEMENTED FEMORAL STEMS FOR PRIMARY IMPLANT, WITH FIXED NECK, STRAIGHT",high
Zimmer Slovakia s.r.o.,,10000743,10000743,010000743 Vlozka G7 Neutral Arcomxl 36MM H,box,1,piece,1,1,P09080304,HIP PROSTHESES ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,,110003631,110003631,"110003631 Acetabular Liner G7, 36mm H",box,1,piece,1,1,P0908030401,HIP PROSTHESES POLYETHYLENE ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Biomet Orthopedics,110003634,110003634,"110003634 Vlozka G7 vel.E52, 36mm ACETABULAR",box,1,piece,1,1,P09080304,HIP PROSTHESES ACETABULAR INSERTS,high
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010241,110010241,"110010241 Jamka G7 vel.B 46 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010241,110010241,"110010241 Jamka G7 vel.B 46 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010241,110010241,"110010241 Jamka G7 vel.B 46 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010241,110010241,"110010241 Jamka G7 vel.B 46 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010242,110010242,"110010242 Jamka G7 vel.C 48 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010242,110010242,"110010242 Jamka G7 vel.C 48 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010243,110010243,"110010243 Jamka G7 vel.D 50 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010243,110010243,"110010243 Jamka G7 vel.D 50 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010243,110010243,"110010243 Jamka G7 vel.D 50 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010244,110010244,"110010244 Jamka G7 vel.E 52 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010245,110010245,"110010245 Jamka G7 vel.F 54 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010246,110010246,"110010246 Jamka G7 vel.F 56 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
Zimmer Slovakia s.r.o.,Biomet Trauma (BWR),110010247,110010247,"110010247 Jamka G7 vel.G 58 s otvormi, OsseoTi",box,1,piece,1,1,P0908030102,PRIMARY IMPLANT UNCEMENTED ACETABULAR CUPS,medium
